,PC1_loading,PC2_loading
15.555555555555555,-3.7733582e-05,1.0458813e-06
15.666666666666666,-3.5998324e-05,-2.3296581e-05
15.777777777777777,-5.301597e-05,-5.9082246e-05
15.888888888888888,-3.8849357e-05,-3.2361524e-05
16.0,-6.774845e-05,-4.678562e-05
16.11111111111111,-4.7821723e-05,-7.497497e-07
16.22222222222222,-3.895752e-05,2.6247453e-05
16.333333333333332,-6.6135064e-05,-3.4371464e-05
16.444444444444443,-6.197455e-05,-2.0559408e-05
16.555555555555554,-3.9605537e-05,2.2938904e-05
16.666666666666664,-2.6581376e-05,1.7579456e-05
16.77777777777778,-6.3122185e-05,-9.515941e-07
16.88888888888889,-7.272777e-05,-1.3228653e-05
17.0,-3.724726e-05,-2.1345579e-05
17.11111111111111,-4.871697e-05,1.2464641e-05
17.22222222222222,-6.152548e-05,-6.940013e-05
17.333333333333332,-4.5805293e-05,2.1253e-05
17.444444444444443,-2.3147273e-05,1.336939e-05
17.555555555555554,-3.3622786e-05,2.5381927e-05
17.666666666666664,-4.0218412e-05,-2.8736658e-06
17.77777777777778,-3.142594e-05,-3.5125213e-06
17.88888888888889,-1.7600965e-05,-2.1646983e-06
18.0,-3.6112753e-05,-1.5894422e-05
18.11111111111111,-2.8749357e-05,-4.2651504e-06
18.22222222222222,-3.7516817e-05,-1.847623e-05
18.333333333333332,-3.9143175e-05,-1.3844662e-05
18.444444444444443,-3.0856245e-05,-8.173286e-06
18.555555555555554,-2.9545316e-05,-2.8158547e-05
18.666666666666664,-3.2750653e-05,-6.9987377e-06
18.777777777777775,-4.4143173e-05,-3.4255627e-05
18.88888888888889,-4.4986795e-05,-2.7441325e-05
19.0,-3.6579557e-05,-1.1045548e-05
19.11111111111111,-4.3898566e-05,2.263277e-06
19.22222222222222,-2.4180876e-05,-1.2305081e-05
19.333333333333332,-3.097627e-05,-8.207862e-06
19.444444444444443,-4.0257684e-05,-2.4878154e-05
19.555555555555554,-2.9714272e-05,1.7584038e-05
19.666666666666664,-4.086336e-05,2.410913e-05
19.777777777777775,-3.2535918e-05,-1.1675763e-05
19.88888888888889,-2.7045644e-05,-8.053989e-06
20.0,-8.236017e-05,-1.1359603e-05
20.11111111111111,-5.3414842e-05,2.7281443e-05
20.22222222222222,-5.824861e-05,-5.4216194e-05
20.333333333333332,-4.3760592e-05,-2.5869145e-05
20.444444444444443,-6.368309e-05,-5.8707533e-06
20.555555555555554,-6.879559e-05,-3.9526796e-05
20.666666666666664,-3.9026705e-05,1.2861636e-05
20.777777777777775,-6.073948e-05,-1.7747592e-05
20.88888888888889,-3.9844348e-05,-1.7975499e-05
21.0,-4.8637718e-05,8.874196e-07
21.11111111111111,-2.5428257e-05,-2.2599555e-05
21.22222222222222,-2.895189e-05,-3.492074e-05
